Vocabulary	Defination	Use	Occurences	Accurates
incineration	the act of burning something, especially waste material, until it is completely destroyed; burning	Most of the waste is incinerated.	1	0
penance	something that you have to do even though you do not like doing it; or sám hối	"She kneeled at her mother's feet in penance.
She regards living in New York as a penance; she hates big cities."	1	0
emerge	to move out of or away from something and become possible to see;  to start to exist; to become known	"she finally emerged from her room at noon.
Problems with this drug are now beginning to emerge."	1	0
reluctant	hesitating before doing something because you do not want to do it or because you are not sure that it is the right thing to do	They nodded in reluctant agreement.	1	0
inflict	to make somebody/something suffer something unpleasant	Most of Ian’s problems are self-inflicted.	1	0
practitioner	a person who works in a profession, especially medicine or law; a person who regularly does a particular activity, especially one that requires skill	"dental practitioners;
one of the greatest practitioners of science fiction"	1	0
intervene	to become involved in a situation in order to improve or help it; to interrupt somebody when they are speaking in order to say something	"She might have been killed if the neighbours hadn't intervened.
But,’ she intervened, ‘what about the others?’"	1	0
thermometer	an instrument used for measuring the temperature of the air, a person’s body, etc.	a thermometer reading	1	0
buoy	an object which floats on the sea or a river to mark the places where it is dangerous and where it is safe for boats to go; cái phao	lifebuoy	1	0
refine	to make a substance pure by taking other substances out of it	The process of refining oil produces several useful chemicals.	1	0
reservoir	a natural or artificial lake where water is stored before it is taken by pipes to houses, etc.	They got up early and went for a swim in the reservoir.	1	0
fluctuate	to change frequently in size, amount, quality, etc., especially from one extreme to another	My weight fluctuated wildly depending on how much I ate.	2	0
subside	to become calmer, quieter or less intense;  to go back to a normal level	I took an aspirin and the pain gradually subsided.	1	0
surge	rush; upsurge;  a sudden increase in the amount or number of something	A surge of people poured through the gates.	1	0
fizzle out	to gradually become less successful and end in a disappointing way	The threatened revolt just fizzled out.	1	0
insulation	the act of protecting something with a material that prevents heat, sound, electricity, etc. from passing through; the materials used for this	Better insulation of your home will help to reduce heating bills.	1	0
conduct (noun)	a person’s behaviour in a particular place or in a particular situation;	"code of conduct;
Any allegation of criminal conduct has to be taken seriously."	1	0
province	one of the areas that some countries are divided into with its own local government; (tỉnh)	the provinces of Canada;	1	0
